Title,Description,Author,Editors,Date,Keywords,Publisher,Relation-Is Part Of,Source,Contributing Institution,Resource Identifier,Rights,Standardized Rights,Type,Format Digital,Language,Date Digital,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Pathogenicity of Fusarium Isolates from Douglas-fir Seed and Container-Grown Seedlings,"Twenty Fusarium isolates from Douglas-fir (Pseudotsuga menziesii var. glauca [Beissn.] Franco) seed and seedlings were evaluated for their effects on Douglas-fir seed germination, post-emergence damping-off, and seedling root disease. Inoculum consisting of perlite: cornmeal colonized with fungal isolates was mixed into peat: vermiculite growing medium then seed was sown or seedlings transplanted into the mixture. A wide range of virulence occurred in populations of Fusarium isolated from Douglas-fir. Several isolates were consistently the more virulent. As a group, F.oxysporum isolates were more virulent that F. ""roseum"" isolates, although some F. oxysporum isolates were quite virulent. Test isolates of F. sambucinum were not virulent. Both source of isolation (healthy versus diseased seed or seedlings) and species of Fusarium were unreliable predictors of potential virulence.","James, Robert L.; Dumroese, R. Kasten; Gilligan, Carma J.; Wenny, David L.",,1989-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 52, August 1989","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b52,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/184,184,55.pdf,/fwres/image/55.pdf
Predicting Mortality and Scorch Height from Prescribed Burning for Ponderosa Pine in Northern Idaho,"Planning the use of prescribed fire in ponderosa pine (Pinus ponderosa) communities often requires an estimate of tree mortality. A logistic regression model was developed to estimate survival of fire-injured ponderosa pine from prescribed burning. Scorch height and diameter at breast height estimate the probability of survival. Once a ponderosa pine exceeds 45 cm in diameter, it has a high probability of survival for the range of intensities within this study. Since the model is based on scorch height, Van Wagner's (1973) scorch height predictive equations were tested using data collected from 21 experimental fall fires. The range of data includes fire line intensities from 16 to 860 Kcal/sec/m, ambient air temperatures from 13 to 29?C, and average scorch heights from 1 to 17 m. Van Wagner's second equation, where scorch height is a function of fire line intensity and ambient air temperature, should be used to predict scorch height. Regression coefficients should be developed for different tree species. The regression coefficient for ponderosa pine developed in this study is lower than the average value of other tree species. Fire line intensity and ambient air temperature account for only 68% of the variability in scorch height for ponderosa pine in this study. Large fuels or heavy duff loadings that provide ventilation and heat for extended periods of time may help further explain the variability.","Saveland, James M.; Bakken, Stephen R.; Neuenschwander, Leon F.",,1990-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 53, December 1990","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b53,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/185,185,56.pdf,/fwres/image/56.pdf
A Growing Regime for Containerized Western Larch Seedlings,"This article is a synopsis of the methodology used at the University of Idaho Forest Research Nursery to produce containerized western larch seedlings for research, conservation, and reforestation.","Wenny, David L.; Dumroese, Kasten R.",,1987-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 42,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b42,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/186,186,57.pdf,/fwres/image/57.pdf
The Grazed-Class Method to Estimate Forage Utilization on Transitory Forest Rangelands,"This publication provides an explanation of the grazed class method of estimating forage utilization, including necessary data sheets. The grazed-class method of estimating forage utilization was developed for and tested on arid rangelands in the Southwest, but appears to have considerable potential in forested settings of the Pacific Northwest as well. It was designed to provide range resource managers with an accurate and easy-to-use tool to monitor livestock utilization of selected forage species. The procedure is based on the concept that when one or more key species of an area representative of a larger range type have been properly utilized, optimum use of that rangeland has been made. The method classifies grazed plants into utilization classes, based on the percent of total plant weight removed.","Kingery, James L.; Boyd, Carol; Kingery, Peggy E.",,1992-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 54,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b54,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/187,187,58.pdf,/fwres/image/58.pdf
Habitat Suitability Index Procedure for Columbian Sharp-tailed Grouse,"Columbian sharp-tailed grouse (Tympanuchus phasianellus columbianus) occupy &lt;10 percent of their historic range. Because of recent increases in some sharp-tailed grouse populations, improved range condition, and the Conservation Reserve Program (CRP), interest in transplanting Columbian sharp-tailed grouse into historic range within the state of Idaho and surrounding Western States has increased. Unfortunately, a habitat suitability index (HSI) to systematically evaluate and rank potential release sites for the Columbian subspecies is not available. Therefore, after evaluating the HSI for the plans sharp-tailed grouse (T. p. jamesi), we developed an index more applicable to the Columbian subspecies. Four areas in southeastern Idaho, All known to support viable populations of sharp-tailed grouse, were chosen to develop the procedure. The HSI is divided into 2 components, each representing a seasonal habitat of Columbian sharp-tailed grouse. Both winter food/cover habitat and nest/brood cover habitat were evaluated using the concept of percent equivalent optimum area. The equivalent optimum area concept assumes that a large area of low quality can have a habitat value equivalent to a smaller area of higher quality. Our HSI provides a systematic method to evaluate habitat quality for Columbian sharp-tailed grouse. It can also provide values which are compatible with the U.S. Fish and Wildlife Services' Habitat Evaluation Procedure (HEP). The HSI can also be used to determine the amount of mitigation crediting a particular site may provide and be used by biologists without considerable experience in sharp-tailed grouse biology.","Meints, Daryl R.; Connelly, John W.; Reese, Kerry P.; Sands, Alan R.; Hemker, Thomas P.",,1992-11-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 55,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b55,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/188,188,59.pdf,/fwres/image/59.pdf
Thirteenth Annual Report For the Fiscal Year 1960-1961,"The report gives a summary of the college's activity during the year including staff activity and projects conducted by forest management, range management, and wildlife and fisheries management. It also contains an appendix listing Forest, Wildlife and Range Experiment Station Staff and sources of research funds and other support.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1961-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - December, 1961 (Thirteenth)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry;,uifwre-ar13,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/189,189,6.pdf,/fwres/image/6.pdf
The Role of Recreation and Leisure Travel in Idaho's Economy,"Recreation and other leisure travel spending appear to be increasingly significant contributors to Idaho's economic health. This is especially true in particular communities and subregions in the state, such as Sandpoint, Coeur d'Alene, McCall, Sun Valley, and travel corridors such as those in southeastern Idaho that access the Yellowstone-Teton complex. This study considers spending by recreation and leisure travelers in Idaho and the contribution of this spending to the state through economic diversification and rural economic development. We first present the framework for our analysis, including Idaho's economic base, spatial features of the Idaho economy, and the economic role of recreation and leisure travel in Idaho. This discussion of that role requires an understanding of the importance of both basic and service industries in Idaho's amenity economy. That economy includes the spending by ""traditional tourists"" (out-of-region visitors traveling for recreation or pleasure), convention travelers, and residents from particular Idaho regions active in leisure and recreation pursuits within those regions, as well as retirees, the independently wealthy and residents who are ""footloose,"" or location-independent in their occupations. Finally, that economy also includes interstate trade generated by amenity resources in Idaho's economy. We then focus on our assessment of the extent to which expenditures by traditional tourists, in-region leisure travelers and convention travelers contribute to the Idaho economy, describing the results of a study conducted to collect these expenditure data and their use in three models of Idaho's regional economies. The report concludes with a discussion of the major conclusions that can be drawn from our research.","Harris, Charles C.; Robison, M.H.",,1992-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 56,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b56,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/190,190,60.pdf,/fwres/image/60.pdf
Hardwood Plantations for the Inland Northwest,"So you are convince you want to establish an alternative tree plantation using high-value hardwood species. Where do you put it? How much will it cost? How much time will it take? How do you maintain it? This publication will address these questions, and others, about the establishment of a high-value hardwood plantation.","Carree, Yvonne; Mahoney, Ronald L.; Dumroese, Kasten R.",,1995-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 57,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b57,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/191,191,61.pdf,/fwres/image/61.pdf
A Growing Regime for Containerized Ponderosa Pine Seedlings,"This article is a synopsis of the methodology used at the University of Idaho Forest Research Nursery to produce containerized ponderosa pine seedlings for research, conservation, and reforestation.","Wenny, David L.; Dumroese, Kasten R.",,1987-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 43,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b43,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/192,192,62.pdf,/fwres/image/62.pdf
Evaluating Wildlife Habitat for Managing Private Forest Ecosystems in the Inland Northwest,"This itemized form is designed to be used by wildlife biologists, foresters, and natural resources professionals in the Inland Northwest, as well as by others with knowledge of wildlife habitat, vegetation, and other land characteristics. This workbook, either alone or offered with a forest stewardship planning course, provides excellent background information on ecosystem management for private landowners, and explains how to incorporate this inventory in management planning.","Mahoney, Ronald L.; Town, Pamela",,1996-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 60,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b60,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/193,193,63.pdf,/fwres/image/63.pdf
Are Your Streams Healthy? Stream Quality Survey for Managing Private Forest Ecosystems,"The purpose of this survey is to assist landowners in evaluating and recording important information about the condition of streams flowing through their forested property. Although the Idaho Forest Practices Act has specific regulations regarding logging operations adjacent to streams, other potential land use disturbances (e.g., recreation, grazing, agriculture) are not governed by regulations that legally protect the stream. This inventory is designed to record existing stream conditions, identify areas of special concern, and serve as a basis for recognizing changes in stream and riparian areas.","Town, Pamela; Mahoney, Ronald L.",,1996-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 61,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b61,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/194,194,64.pdf,/fwres/image/64.pdf
Calculating Timber Removal Costs Under Ecosystem Management,"Recently, we have seen a variety of terms used to describe a changing and evolving philosophy toward forest management. We have heard of concepts called new forestry, adaptive forestry, environmental forestry, and ecosystem management. Although there are differences in how forest management is viewed in each of these concepts, the impact on the cost of vegetative manipulation and timber removal will be similar. This bulletin provides a breakdown of timber removal costs commonly encountered under ecosystem management.","Lee, Harry W.; Johnson, Leonard R.",,1996-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 62,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b62,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/195,195,65.pdf,/fwres/image/65.pdf
Contracting for Timber Harvest Under Ecosystem Management,In this bulletin the authors emphasize the importance of a written contract meant to clarify and record all expectations of a timber harvest contractor. The written contract establishes communication and helps clarify the responsibilities of all parties involved. The bulletin includes a sample contract.,"Lee, Harry W.; Johnson, Leonard R.",,1996-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 63,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b63,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/196,196,66.pdf,/fwres/image/66.pdf
Release and Management of Understory Western Red Cedar: A Literature Review,This report provides a comprehensive review of the published literature on the release of western red cedar advance regeneration and the subsequent management of the regeneration following release from its mixed conifer overstory. This report attempts to provide enough site and research design information about the specific trials and experiments so that practicing foresters can identify which research is applicable to their particular situation.,"Fields, Jeffrey W.; Adams, David L.",,1996-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 65,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b65,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/197,197,67.pdf,/fwres/image/67.pdf
Idaho's Forest Products Industry: Current Conditions and Forecast 2006,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry. The report includes several illustrative graphs.","Keegan, Charles E. III; Brandt, Jason P.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2006-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 86,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; University of Idaho Cooperative Extension System;",uifwre-b86,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/198,198,68.pdf,/fwres/image/68.pdf
Full Forest Utilization: A Bibliography,"The bibliography presents references on full forest utilization, particularly those which emphasize the use of unused or little used material and the overall forest biomass.","Howe, John P.",,1978,,"University of Idaho Forest, Wildlife and Range Experiment Station",Full Forest Utilization: A Bibliography - 1978,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-ffu,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/199,199,69.pdf,/fwres/image/69.pdf
Fourteenth Annual Report For the Fiscal Year 1961-1962,"The report gives a summary of the college's activity during the year including staff activity and projects conducted by forest management, range management, and wildlife and fisheries management. It also contains an appendix listing Forest, Wildlife and Range Experiment Station Staff and sources of research funds and other support.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1962-11-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - November, 1962 (Fourteenth)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry;,uifwre-ar14,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/200,200,7.pdf,/fwres/image/7.pdf
Field Guide to the Bark Beetles of Idaho and Adjacent Regions,"This guide includes 102 species of bark beetles and 12 relatives of different habit, referred to collectively as ""scolytids."" The information presented here will be of use especially to owners and managers of trees that grow in the forest, around homes, or in orchards in Idaho and surrounding areas. Indeed, three-quarters or more of these beetle species also occur in Oregon, Washington, and Montana, and all but 10 occur in neighboring British Columbia, Canada.","Furniss, Malcolm M.; Johnson, James B.",,2002-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Field Guide to the Bark Beetles of Idaho and Adjacent Regions,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-fgbark,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/201,201,70.pdf,/fwres/image/70.pdf
Field Guide to the Willows of East-Central Idaho,"The guide identifies willows present in east-central Idaho, explains how to recognize them in the field, and provides information on their abundance, distribution, and morphologic data. It includes maps, illustrations, photographs of leaves, and color photographs of different species.","Brunsfeld, Steven J.; Johnson, Frederic D.",Lorraine Ashland; Jane Pritchett; Susan Roberts,1985-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Field Guide to the Willows of East-Central Idaho - June 1985,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-fgw,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/202,202,71.pdf,/fwres/image/71.pdf
Focus on Renewable Natural Resources Fiscal 1984 Annual Report,"The bulletin's introduction discusses the contributions of John Ehrenreich following his stepping down as Director of the Experiment Station and Dean of the College of Forestry, Wildlife and Range Sciences. Included articles discuss mapping grizzly and caribou habitat, ospreys successfully incubating bald eagle-sized eggs, testing the bonding properties of South Korean woods with cement, and the addition of a wood faker to the Forest Products Department.","Ables, Ernest D.; Belt, George H.; Loewenstein, Howard; Various Contributors",Susan B. Roberts; Michal Miller,1985,,"University of Idaho Forest, Wildlife and Range Experiment Station",Focus on Renewable Natural Resources Volume 10 - 1985,"Idaho SD12.I2 U452, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-fnrrv10,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/203,203,72.pdf,/fwres/image/72.pdf
Focus on Renewable Natural Resources Fiscal 1985 Annual Report,"The bulletin focuses on the Department of Range Resources, including a history of Range Research at the University of Idaho. Included articles feature a new Wildlife Research Institute to be directed by Maurice Hornocker, cement to wood ratio in particleboards, and proposed investigation of Native American perceptions of national parks.","Hendee, John C.; Belt, George H.; Loewenstein, Howard; Various Contributors",Susan B. Roberts; Michal Miller,1986,,"University of Idaho Forest, Wildlife and Range Experiment Station",Focus on Renewable Natural Resources Volume 11 - 1986,"Idaho SD12.I2 U452, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-fnrrv11,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/204,204,73.pdf,/fwres/image/73.pdf
Focus on Renewable Natural Resources Fiscal 1986 Annual Report,"The bulletin features the Department of Wildland Recreation Management and its focus on the expanding tourism industry in Idaho. Articles discuss the coexistence of tourism and natural resource industries, renovation and expansion of the Taylor Ranch Field Station, the role of researchers in President Reagan's Commission on Americans Outdoors, effects of dredging on game fish, and the use of explosives to study tree root disease.",John C. Hendee; Leon F. Neuenschwander; Howard Loewenstein; Various Contributors,"Jane Pritchett; Michal Miller,",1987,,"University of Idaho Forest, Wildlife and Range Experiment Station",Focus on Renewable Natural Resources Volume 12 - 1987,"Idaho SD12.I2 U452, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-fnrrv12,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/205,205,74.pdf,/fwres/image/74.pdf
Focus on Renewable Natural Resources 1987 Annual Report,"The bulletin examines the facilities used by scientists in the University of Idaho's College of Forestry, Wildlife and Range Sciences. It also discusses research units and cooperatives, cooperative extensions in the state of Idaho, and communications. The bulletin's research highlights include tracking transplanted caribou and artificial intelligence in resource management.","Hendee, John C.; Neuenschwander, Leon F.; Bottger, Richard F.; Various Contributors",Diane Noel; Michal Pierce; Carol Bailly,1988-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Focus on Renewable Natural Resources Volume 13 - May 1988,"Idaho SD12.I2 U452, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-fnrrv13,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/206,206,75.pdf,/fwres/image/75.pdf
